,loss
0,3.185777425765991
1,1.5377740859985352
2,0.6579446196556091
3,0.4047984480857849
4,0.26716843247413635
5,0.2132519781589508
6,0.17073583602905273
7,0.13615326583385468
8,0.1137978732585907
9,0.10083701461553574
10,0.09160348773002625
11,0.07985375821590424
12,0.07136645168066025
13,0.06809773296117783
14,0.062494907528162
15,0.058731094002723694
16,0.058474913239479065
17,0.058298926800489426
18,0.056805141270160675
19,0.055036526173353195
20,0.051899489015340805
21,0.050450507551431656
22,0.04767855256795883
23,0.04569436237215996
24,0.045036330819129944
25,0.044885288923978806
26,0.04272746294736862
27,0.04301628842949867
28,0.04441219940781593
29,0.044487595558166504
30,0.04409898445010185
31,0.04975030571222305
32,0.04836321622133255
33,0.04983839392662048
34,0.049971483647823334
35,0.042907726019620895
36,0.04161546379327774
37,0.04000050202012062
38,0.045520391315221786
39,0.04072793945670128
40,0.03751475736498833
41,0.03682432323694229
42,0.03617741912603378
43,0.036994777619838715
44,0.037784822285175323
45,0.03781654313206673
46,0.045696921646595
47,0.04300924018025398
48,0.03824508190155029
49,0.0355512835085392
50,0.035653531551361084
51,0.03818948566913605
52,0.041951123625040054
53,0.04060324653983116
54,0.033049724996089935
55,0.033183109015226364
56,0.03577122092247009
57,0.039692025631666183
58,0.03640192747116089
59,0.03622995689511299
60,0.03336894512176514
61,0.03537965938448906
62,0.03812161833047867
63,0.04117060452699661
64,0.03805185854434967
65,0.04130375385284424
66,0.037871599197387695
67,0.03744394704699516
68,0.03951926529407501
69,0.034774988889694214
70,0.03298264741897583
71,0.03283382207155228
72,0.034642674028873444
73,0.03117479756474495
74,0.033591773360967636
75,0.039020102471113205
76,0.048799898475408554
77,0.056573785841464996
78,0.05127854272723198
79,0.04509861767292023
80,0.03724512457847595
81,0.032263949513435364
82,0.03866228833794594
83,0.03907603397965431
84,0.0325300358235836
85,0.03189020976424217
86,0.0368962362408638
87,0.03495392948389053
88,0.035804443061351776
89,0.037127021700143814
90,0.03184637799859047
91,0.032940518110990524
92,0.031393054872751236
93,0.03143290430307388
94,0.033905982971191406
95,0.03611296787858009
96,0.04081113263964653
97,0.03888021409511566
98,0.04119185358285904
99,0.034094054251909256
